timestamp_str,severity,event_type,message,frame_id
2026-05-31 11:26:03,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,1
2026-05-31 11:26:03,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,1
2026-05-31 11:26:08,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,27
2026-05-31 11:26:08,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,27
2026-05-31 11:26:09,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,29
2026-05-31 11:26:09,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,29
2026-05-31 11:26:09,CRITICAL,FALL_P1,Person 1 may have fallen!,31
2026-05-31 11:26:14,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,59
2026-05-31 11:26:14,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,59
2026-05-31 11:26:16,CRITICAL,FALL_P1,Person 1 may have fallen!,73
2026-05-31 11:26:19,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,89
2026-05-31 11:26:19,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,89
2026-05-31 11:26:24,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,123
2026-05-31 11:26:24,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,123
2026-05-31 11:26:29,CRITICAL,FALL_P1,Person 1 may have fallen!,149
2026-05-31 11:26:29,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,149
2026-05-31 11:26:29,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,149
2026-05-31 11:26:35,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,179
2026-05-31 11:26:35,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,181
2026-05-31 11:26:35,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,181
2026-05-31 11:26:35,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,183
2026-05-31 11:26:36,CRITICAL,FALL_P2,Person 2 may have fallen!,187
2026-05-31 11:26:40,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,209
2026-05-31 11:26:40,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,211
2026-05-31 11:26:40,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,211
2026-05-31 11:26:40,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,213
2026-05-31 11:26:45,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,239
2026-05-31 11:26:45,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,241
2026-05-31 11:26:45,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,241
2026-05-31 11:26:46,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,245
2026-05-31 11:26:48,WARNING,PPE_No Helmet_P3,Person 3 — PPE violation: No Helmet,255
2026-05-31 11:26:48,WARNING,PPE_No Safety Vest_P3,Person 3 — PPE violation: No Safety Vest,255
2026-05-31 11:26:50,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,265
2026-05-31 11:26:50,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,267
2026-05-31 11:26:50,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,267
2026-05-31 11:26:52,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,275
2026-05-31 11:26:52,CRITICAL,FALL_P3,Person 3 may have fallen!,277
2026-05-31 11:26:55,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,291
2026-05-31 11:26:55,WARNING,PPE_No Helmet_P2,Person 2 — PPE violation: No Helmet,293
2026-05-31 11:26:55,WARNING,PPE_No Safety Vest_P2,Person 2 — PPE violation: No Safety Vest,293
2026-05-31 11:26:56,CRITICAL,FALL_P2,Person 2 may have fallen!,295
2026-05-31 11:26:57,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,303
2026-05-31 11:27:00,CRITICAL,FALL_P1,Person 1 may have fallen!,319
2026-05-31 11:27:00,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,319
2026-05-31 11:27:02,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,331
2026-05-31 11:27:05,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,349
2026-05-31 11:27:07,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,361
2026-05-31 11:27:11,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,371
2026-05-31 11:27:13,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,379
2026-05-31 11:27:16,WARNING,PPE_No Safety Vest_P1,Person 1 — PPE violation: No Safety Vest,389
2026-05-31 11:27:18,WARNING,PPE_No Helmet_P1,Person 1 — PPE violation: No Helmet,399
